departement,pop_2018,pop_municipale,pib_2005,pib_2000,décla,taxe_om,impot,revenu_moyen
 S e i n e - M a r i t i m e ,1.4001783113042545,1.4676910668837215,0.8046942291128337,0.813840830449827,0.18137997521002616,0.40247678018575844,0.3552519214346712,0.8183807439824945
 M a y e n n e ,-0.4488007834004843,-0.4676649342251231,0.1866925064599483,0.33570305127398553,-0.03677179451866134,1.8369453044375645,-0.7423854255621976,-0.4420131291028446
 A i n ,0.21484855718872253,0.14065416705737555,0.0008613264427217916,0.10468700849323687,1.8053987054124776,-0.3550051599587202,0.7116424708226587,0.6652078774617067
 H a u t e - G a r o n n e ,1.6433618014313622,1.4860228706879193,1.5122739018087856,1.3732620320855615,1.137722076848919,-0.5655314757481942,1.300313122687162,2.0700218818380742
 E u r e - e t - L o i r ,-0.20537564735285663,-0.2147725357031043,-0.23191214470284238,0.10594526580685751,0.5116375154937336,0.542827657378741,0.07742670082550526,0.7527352297592997
 G e r s ,-0.6744688418047442,-0.7098029751263206,-0.6578380706287683,-0.6706511481597986,-0.39071753202038284,0.6336429308565533,-0.4896100199259892,-0.087527352297593
 C ô t e - d ' O r ,-0.00811657466907663,-0.019003054446625582,1.1397502153316106,1.4819754639823843,0.8151769728687509,-0.5964912280701757,0.6752063763165386,0.5645514223194749
 H a u t e s - A l p e s ,-0.7730467360749103,-0.812874279878724,0.6515934539190353,0.046303869141239386,-0.1006748381765597,0.4169246646026832,-0.47822374039282667,-0.5995623632385121
 Y o n n e ,-0.3895195825761599,-0.39504278838541673,-0.13953488372093023,-0.18068575023592326,-0.2312353670293348,0.02476780185758535,-0.22089382294335325,-0.15317286652078774
 V a l - d ' O i s e ,1.3664609103620304,1.322338145329351,0.6285529715762274,0.6235923246303869,0.9988982233852086,-0.0020639834881320514,1.3105607742670082,2.087527352297593
 M o r b i h a n ,0.4238196619880249,0.39328216456298765,-0.12123169681309216,-0.17691097829506133,0.3441674700454483,1.118679050567596,-0.20153714773697695,-0.175054704595186
 D o r d o g n e ,-0.2415816115249514,-0.24602514576643245,-0.8382859603789836,-0.9311104120792703,-0.6287012808153147,0.0020639834881320514,-0.6626814688300597,-0.6433260393873085
 C a n t a l ,-0.7651211396333413,-0.794485086706624,-0.6877691645133506,-0.8873230575652721,-0.6152045172841206,0.5283797729618162,-0.8983774551665243,-1.0503282275711159
