departement,pop_2018,pop_municipale,pib_2005,pib_2000,décla,taxe_om,impot,revenu_moyen
 C h a r e n t e ,-0.3617030191124384,-0.3740505774548943,0.1916451335055986,0.23026108839257628,-0.36565211403387965,0.7079463364293087,-0.2550526615428409,-0.15317286652078774
 B a s - R h i n ,1.1617848669242274,1.156122138922238,0.8546511627906976,1.1455174583202266,0.9760363586282881,-0.6811145510835913,0.869911756333618,0.8227571115973742
 V a r ,1.0334494467964863,0.9787602974203992,0.014857881136950904,-0.26700220195029883,0.6388927145021347,0.3942208462332303,0.9257045260461144,0.2713347921225383
 A v e y r o n ,-0.5029957273493488,-0.531649980195544,-0.14104220499569337,-0.41019188424032715,-0.20919983473350778,-0.31578947368421045,-0.5727298605180757,-0.5251641137855579
 N i è v r e ,-0.6461241650792413,-0.6494457570554335,-0.6625753660637381,-0.43233721296005034,-0.7548547032089243,-0.9411764705882356,-0.7662966125818389,-0.4288840262582057
 I l l e - e t - V i l a i n e ,1.0364329944119381,0.9453596853013019,1.0641688199827735,0.8020132117017931,0.8746729100674838,0.5221878224974204,0.40421292342727017,0.5339168490153173
 V a u c l u s e ,0.043667756346859335,0.023422035775097216,0.09345391903531439,0.0800251651462724,-0.19157140889684615,0.25386996904024783,0.23797324224309707,0.19693654266958424
 S e i n e - e t - M a r n e ,1.7054180328268187,1.6463052263779983,0.13652024117140396,0.07977351368354829,1.2211816554193637,0.8751289989680089,0.9598633646456021,1.9299781181619255
 Y v e l i n e s ,1.7617020447337266,1.8004530685633853,1.6496554694229113,1.8239698018244732,4.220217600881421,-0.32817337461300317,4.521491602618844,5.776805251641138
 M a r n e ,0.05861277702804749,0.06429351382289539,1.4046080964685617,1.5433784208870713,0.6912271037047238,-0.04127966976264176,1.0111016225448335,0.612691466083151
 E s s o n n e ,1.4796057663732163,1.4142144241002552,0.8337639965546942,0.8800251651462724,1.8951934995179727,0.22291021671826633,1.6851693709080557,2.8271334792122538
 I n d r e ,-0.6173468642057108,-0.6251905506356129,-0.46920757967269594,-0.47989933941491036,-0.712987191846853,-0.030959752321981504,-0.8437233134073442,-0.6170678336980306
 O i s e ,0.5646875411066019,0.5542982843141022,-0.0409130060292851,0.09160113243158226,0.7143644126153422,1.310629514963881,0.7776828921150014,1.3172866520787747
 L o i r - e t - C h e r ,-0.40365976644142276,-0.41796369200151057,-0.05835486649440138,0.002768166089965398,0.10948905109489052,1.2115583075335403,-0.33247936236834613,0.16630196936542668
 V o s g e s ,-0.33376953020330413,-0.3205042475818324,-0.21877691645133507,-0.05787983642654923,-0.4405729238396915,-0.5325077399380806,-0.3825789923142613,-0.350109409190372
 I s è r e ,1.415144768317102,1.393761263303957,0.7555986218776917,0.8717206668763762,1.0515080567414956,0.901960784313726,0.5374323939652719,1.5317286652078774
 L o t ,-0.7082875781329929,-0.7387825562966641,-0.3757536606373816,-0.68902170493866,-0.3816278749483542,-0.2518059855521154,-0.6421861656703672,-0.3938730853391685
 H a u t - R h i n ,0.44352939456978746,0.44651695215315174,0.23277347114556418,0.5790500157282165,1.5737501721525962,-0.5985552115583077,1.3845715912325647,0.4726477024070022
 A u b e ,-0.4430792316049479,-0.4738834821613861,0.26765719207579675,0.27304183705567786,-0.09213606941192673,0.07843137254901979,0.25049814972957585,-0.2013129102844639
 A l p e s - M a r i t i m e s ,1.069544331795439,1.119177733335178,1.0501722652885443,0.7896822900283108,1.1776614791351054,-0.5696594427244583,1.8958155422715628,1.1728665207877462
 V e n d é e ,0.277904501142459,0.21819130233385137,0.14082687338501293,-0.04580056621579113,0.34444291419914613,0.34674922600619196,-0.5294619982920581,-0.5995623632385121
 P u y - d e - D ô m e ,0.23709167442109724,0.20550825202745876,0.6621447028423773,0.6205725070776974,0.3069825092962402,0.07843137254901979,0.07059493310560774,0.6433260393873085
 H é r a u l t ,1.2118055724718526,1.0798086269542488,0.03294573643410853,-0.12129600503302926,-0.006472937611899187,0.8152734778121775,0.8266438941076003,0.4420131291028446
 C o r r è z e ,-0.5783951008238372,-0.6000232631902033,-0.0008613264427217916,-0.36464296948726016,-0.23894780333287427,-0.3054695562435502,-0.6114432109308283,-0.3238512035010941
 G a r d ,0.40548380338986356,0.3753971779803144,-0.4860034453057709,-0.4255426234664989,-0.2808153146949456,0.31166150670794635,0.20609165955024195,0.3238512035010941
 C o r s e - d u - S u d ,-0.7396158024739475,-0.7980329794151511,0.20176571920757969,0.0659326832337213,0.33755681035670015,-0.7141382868937048,0.9040705949331056,-0.10065645514223195
 A u d e ,-0.32072454801007505,-0.35916623496539474,-0.4847114556416882,-0.8123309216734822,-0.9113069825092962,2.505675954592364,-0.5260461144321094,-0.5864332603938731
 L o i r e t ,0.27567122513507325,0.2549409939941002,1.2564599483204135,1.2081786725385342,0.5485470320892439,0.7017543859649121,0.16737830913748933,0.7921225382932167
 D o u b s ,0.00792949395641604,-0.012501658911415924,0.6145564168819982,0.861402956904687,0.8818344580636276,-0.5614035087719297,0.48050099629945914,0.08315098468271334
 S a r t h e ,0.05569158965014932,0.06254518772215963,0.3094315245478036,0.3273985530040893,0.006472937611899187,0.3632610939112491,-0.4941645317392542,0.06564551422319474
 V i e n n e ,-0.19448404211264791,-0.21880823803880034,0.07407407407407407,0.044290657439446365,-0.15080567414956617,-0.1217750257997936,-0.3996584116140051,-0.0700218818380744
 S o m m e ,0.06484880078340048,0.07380375193240762,-0.07170542635658915,-0.1273356401384083,-0.27916264977275856,-0.1259029927760577,0.138912610304583,0.0087527352297593
 P y r é n é e s - A t l a n t i q u e s ,0.2775517760487969,0.24883517517335946,0.5753660637381568,0.2737967914438503,0.6386172703484368,-0.9391124871001032,0.515798462852263,0.5207877461706784
 H a u t e - S a v o i e ,0.5443152310008331,0.43409215400231915,0.8804909560723514,1.0279962252280592,3.2333011981820685,-0.5469556243550053,0.9837745516652434,0.7658643326039387
 H a u t e - M a r n e ,-0.7080147520936962,-0.7231624001258466,-0.313953488372093,0.09361434413337527,-0.6766285635587385,-0.7512899896800829,-0.7378309137489325,-0.5076586433260394
 B o u c h e s - d u - R h ô n e ,2.9172352978432126,2.9528746180660703,1.070628768303187,0.8953759043724442,0.49345820134967633,1.368421052631579,1.3731853116994022,1.3172866520787747
 M a n c h e ,-0.08068245484972644,-0.07311302989729865,-0.23234280792420328,-0.24259201006605852,-0.05164577881834458,-0.0825593395252839,-0.5089666951323655,-0.10940919037199125
 L o i r e - A t l a n t i q u e ,1.705390750222889,1.5600920484468745,0.9612403100775194,0.9220509594212016,1.0264426387549925,0.9597523219814241,0.5123825789923142,0.8971553610503282
 C a l v a d o s ,0.305313774304659,0.30756499474016197,0.18906115417743324,0.13916325888644226,0.3188266079052472,0.470588235294118,0.3074295473953886,0.08315098468271334
 L o z è r e ,-0.8981140900033616,-0.9388213966010122,-0.4214039621016365,-0.7733249449512425,-0.7578845888996006,-0.5779153766769864,-0.798178195274694,-1.0853391684901532
 A r d è c h e ,-0.41075714097798394,-0.44666452481347174,-0.712532299741602,-0.8299465240641711,-0.20699628150392507,-0.3095975232198143,-0.4748078565328779,-0.0700218818380744
 T a r n ,-0.28995366829225516,-0.3228715590077993,-0.5953919035314384,-0.7393519974834853,-0.28109075884864343,0.07430340557275532,-0.34955878166808996,-0.08315098468271334
 H a u t e s - P y r é n é e s ,-0.6005953453928938,-0.6271315410428775,-0.03919035314384152,-0.4117017930166719,-0.6342101638892714,-1.318885448916409,-0.6831767719897524,-0.5295404814004376
 A r d e n n e s ,-0.5174730462488856,-0.5166939009961667,-0.5562015503875969,-0.3852783894306386,-0.6755267869439471,-0.37977296181630554,-0.38941076003415886,-0.0787746170678337
 F i n i s t è r e ,0.7295173415051228,0.7474299042673607,0.268733850129199,0.08908461780434099,0.32130560528852775,0.844169246646027,-0.1628237973242243,-0.087527352297593
 M e u s e ,-0.6860210758115357,-0.700243546130035,-0.562015503875969,-0.534507706826046,-0.45351879906348985,-1.195046439628483,-0.6137204668374608,-0.3851203501094092
 N o r d ,4.031684846949464,4.18943512977427,0.15525409130060294,-0.04252909720037748,-0.019969701143093238,0.7512899896800829,0.7105038428693424,0.6914660831509847
 S e i n e - S a i n t - D e n i s ,2.1344584159525284,2.0388095600438825,0.9849267872523686,0.8410191884240327,-0.8790800165266492,1.5438596491228074,0.34728152576145743,0.5645514223194749
 S a v o i e ,-0.20201014328238956,-0.2382755314793493,1.4397071490094746,1.034035860333438,1.0432447321305605,0.4272445820433438,0.4076288072872189,0.8183807439824945
 E u r e ,0.12194739329335133,0.10844233470196728,-0.4005167958656331,-0.28763762189367725,0.24638479548271588,0.1176470588235295,0.03643609450612013,0.7045951859956237
 S a ô n e - e t - L o i r e ,0.028841609868507593,0.042624928199239485,-0.1690353143841516,-0.2883925762818496,-0.015287150530229996,-0.3013415892672857,-0.2698548249359522,-0.0525164113785558
 A l p e s - d e - H a u t e - P r o v e n c e ,-0.7275042750865979,-0.767057068089923,-0.3684323858742463,-0.29770368040264233,-0.13372813662030023,0.5201238390092879,0.06604042129234272,-0.0087527352297593
 C h a r e n t e - M a r i t i m e ,0.213480529477392,0.1854486183253475,-0.4149440137812231,-0.4700849323686694,0.1662305467566451,0.5531475748194015,0.07287218901224025,-0.2538293216630197
 D e u x - S è v r e s ,-0.3168406744649443,-0.3366778012288498,0.46037898363479757,0.08480654293803083,-0.05715466189230133,0.06398348813209506,-0.4622829490463991,0.04814004376367615
 H a u t e - C o r s e ,-0.6950905928607272,-0.7513139347021722,-0.8959948320413437,-0.9902485058194401,-0.43451315245833905,-0.9205366357069144,0.4691147167662966,-0.2188183807439825
 C r e u s e ,-0.8182481645141017,-0.8457604373069835,-0.9412144702842378,-1.1153192827933311,-1.3018867924528301,-0.6728586171310631,-1.3151152860802733,-0.962800875273523
 H a u t e - V i e n n e ,-0.3199586863426208,-0.32618579500415307,0.16645133505598622,0.3852783894306386,-0.19735573612450075,0.4747162022703821,-0.22089382294335325,0.0175054704595186
 V a l - d e - M a r n e ,1.6750115707472024,1.636620770544497,1.3789836347975883,1.2134633532557408,1.8026442638754991,1.403508771929825,2.5994876174210075,2.989059080962801
 P y r é n é e s - O r i e n t a l e s ,-0.11892876804427577,-0.16944723278203672,-0.5282084409991387,-0.7003460207612456,-0.718220630767112,0.6006191950464398,-0.1036151437517791,-0.5470459518599562
 J u r a ,-0.5410510623163906,-0.5614084170731319,-0.07127476313522825,0.15451399811261404,0.2364688059495937,-0.26006191950464397,-0.3062909194420723,-0.13566739606126915
 A r i è g e ,-0.7489445042604709,-0.7848334247976384,-0.6597760551248923,-0.8505819440075495,-1.0148739842996832,-0.2476780185758513,-0.9655565044121833,-0.4814004376367615
 C h e r ,-0.455964415689446,-0.45810755484911975,-0.12360034453057708,-0.136646744259201,-0.29954551714639854,-0.2167182662538698,-0.48050099629945914,-0.13129102844638948
 L a n d e s ,-0.24755065551327834,-0.30185475263389017,-0.020887166236003445,-0.025416797735136835,0.36978377633934717,-0.055727554179566485,0.004554511813265016,-0.3413566739606127
 A i s n e ,-0.00792949395641604,0.012501658911415924,-0.6326442721791559,-0.4894620949984272,-0.6438507092686958,-0.3694530443756449,-0.23797324224309707,-0.15317286652078774
