code_x,nom,pop_2013,pop_2017,pop_2018,superficie,densite,pib_2015,pib_2005,pib_2000,code_y,nb_commune,pop_municipale,hab_m,rmoyen,décla,taxe_om,impot
65, H a u t e s - P y r é n é e s ,228868,228530,229191,4464,51,,22664,18327,65,474,229228,484,2148,22657,"8,04",2190
43, H a u t e - L o i r e ,226203,227283,227552,4977,46,,19460,16801,43,260,224907,865,2132,23653,"12,34",2078
36, I n d r e ,228091,222232,220595,6791,33,,20667,18056,36,247,230175,932,2128,22371,"14,28",2049
58, N i è v r e ,215221,207182,205828,6817,30,,19769,18245,58,312,218341,700,2171,22219,"9,87",2117
32, G e r s ,190276,191091,191283,6257,31,,19791,17298,32,463,188893,408,2249,23541,"17,50",2360
55, M e u s e ,192094,187187,185355,6211,30,,20236,17839,55,500,193557,387,2181,23313,"8,64",2251
2B, H a u t e - C o r s e ,170974,177689,180701,4666,39,,18685,16028,2B,236,168640,715,2219,23382,"9,97",3202
52, H a u t e - M a r n e ,181521,175640,174069,6211,28,,21388,20335,52,437,182375,417,2153,22503,"10,79",2142
46, L o t ,173758,173828,173929,5217,33,,21101,17225,46,340,174754,514,2179,23574,"13,21",2226
04, A l p e s - d e - H a u t e - P r o v e n c e ,161916,163915,164068,6925,24,,21135,18780,04,200,160959,805,2267,24474,"16,95",2848
2A, C o r s e - d u - S u d ,149234,157249,157853,4014,39,,23783,20225,2A,124,145846,1176,2246,26185,"10,97",3584
09, A r i è g e ,152684,153153,153066,4890,31,,19782,16583,09,332,152286,459,2159,21275,"13,23",1942
15, C a n t a l ,147035,145143,144765,5726,25,,19652,16437,15,260,147577,568,2029,22726,"16,99",2001
05, H a u t e s - A l p e s ,139279,141284,140698,5549,25,,25872,20147,05,172,138605,806,2132,24594,"16,45",2370
23, C r e u s e ,120872,118638,117503,5565,21,,18475,15531,23,260,122560,471,2049,20233,"11,17",1635
48, L o z è r e ,76607,76601,76520,5167,15,,20889,16890,48,185,77156,417,2021,22208,"11,63",2089
